File                                    ,Title, Units, Frequency, Seasonal Adjustment, Last Updated,Category
CAPUTLN2121S,Capacity Utilization: Coal mining, % of Capacity, M, SA, 2018-12-14,out
CAPUTLG3342S,Capacity Utilization: Communications equipment, % of Capacity, M, SA, 2018-12-14,out
CAPUTLG3341S,Capacity Utilization: Computer and peripheral equipment, % of Capacity, M, SA, 2018-12-14,out
CAPUTLHITEK2S,"Capacity Utilization: Computers, communications equipment, and semiconductors", % of Capacity, M, SA, 2018-12-14,out
CAPUTLB5610CS,Capacity Utilization: Crude processing, % of Capacity, M, SA, 2018-12-14,out
CAPUTLGMFDS,Capacity Utilization: Durable manufacturing, % of Capacity, M, SA, 2018-12-14,out
CAPUTLG3364T9S,Capacity Utilization: Durable Manufacturing: Aerospace and miscellaneous transportation equipment, % of Capacity, M, SA, 2018-12-14,out
CAPUTLG33611S,Capacity Utilization: Durable Manufacturing: Automobile and light duty motor vehicle, % of Capacity, M, SA, 2018-12-14,out
CAPUTLG334S,Capacity Utilization: Durable Manufacturing: Computer and electronic product, % of Capacity, M, SA, 2018-12-14,out
CAPUTLG335S,"Capacity Utilization: Durable Manufacturing: Electrical equipment, appliance, and component", % of Capacity, M, SA, 2018-12-14,out
CAPUTLG332S,Capacity Utilization: Durable Manufacturing: Fabricated metal product, % of Capacity, M, SA, 2018-12-14,out
CAPUTLG337S,Capacity Utilization: Durable Manufacturing: Furniture and related product, % of Capacity, M, SA, 2018-12-14,out
CAPUTLG3311A2S,Capacity Utilization: Durable Manufacturing: Iron and steel products, % of Capacity, M, SA, 2018-12-14,out
CAPUTLG333S,Capacity Utilization: Durable Manufacturing: Machinery, % of Capacity, M, SA, 2018-12-14,out
CAPUTLG339S,Capacity Utilization: Durable Manufacturing: Miscellaneous, % of Capacity, M, SA, 2018-12-14,out
CAPUTLG3361T3S,Capacity Utilization: Durable Manufacturing: Motor vehicles and parts, % of Capacity, M, SA, 2018-12-14,out
CAPUTLG327S,Capacity Utilization: Durable Manufacturing: Nonmetallic mineral product, % of Capacity, M, SA, 2018-12-14,out
CAPUTLG331S,Capacity Utilization: Durable Manufacturing: Primary metal, % of Capacity, M, SA, 2018-12-14,out
CAPUTLG336S,Capacity Utilization: Durable Manufacturing: Transportation equipment, % of Capacity, M, SA, 2018-12-14,out
CAPUTLG321S,Capacity Utilization: Durable Manufacturing: Wood product, % of Capacity, M, SA, 2018-12-14,out
CAPUTLG2211A2S,Capacity Utilization: Electric and gas utilities, % of Capacity, M, SA, 2018-12-14,out
CAPUTLG2211S,"Capacity Utilization: Electric power generation, transmission, and distribution", % of Capacity, M, SA, 2018-12-14,out
CAPUTLB5640CS,Capacity Utilization: Finished processing, % of Capacity, M, SA, 2018-12-14,out
MCUMFN,Capacity Utilization: Manufacturing (NAICS), % of Capacity, M, SA, 2018-12-14,out
CUMFNS,Capacity Utilization: Manufacturing (SIC), % of Capacity, M, SA, 2018-12-14,out
CAPUTLX4HTK2S,"Capacity Utilization: Manufacturing excluding computers, communications equipment, and semiconductors", % of Capacity, M, SA, 2018-12-14,out
CAPUTLX4HTMVS,Capacity Utilization: Manufacturing excluding hi-tech and motor vehicles and parts, % of Capacity, M, SA, 2018-12-14,out
CAPUTLG2122S,Capacity Utilization: Metal ore mining, % of Capacity, M, SA, 2018-12-14,out
CAPUTLG21S,Capacity Utilization: Mining, % of Capacity, M, SA, 2018-12-14,out
CAPUTLG212S,Capacity Utilization: Mining (except oil and gas), % of Capacity, M, SA, 2018-12-14,out
CAPUTLG2212S,Capacity Utilization: Natural gas distribution, % of Capacity, M, SA, 2018-12-14,out
CAPUTLGMFNS,Capacity Utilization: Nondurable manufacturing, % of Capacity, M, SA, 2018-12-14,out
CAPUTLG315S,Capacity Utilization: Nondurable Manufacturing: Apparel, % of Capacity, M, SA, 2018-12-14,out
CAPUTLG315A6S,Capacity Utilization: Nondurable Manufacturing: Apparel and leather goods, % of Capacity, M, SA, 2018-12-14,out
CAPUTLN32522S,Capacity Utilization: Nondurable Manufacturing: Artificial and synthetic fibers and filaments, % of Capacity, M, SA, 2018-12-14,out
CAPUTLG312S,Capacity Utilization: Nondurable Manufacturing: Beverage and tobacco product, % of Capacity, M, SA, 2018-12-14,out
CAPUTLG325S,Capacity Utilization: Nondurable Manufacturing: Chemical, % of Capacity, M, SA, 2018-12-14,out
CAPUTLG311S,Capacity Utilization: Nondurable Manufacturing: Food, % of Capacity, M, SA, 2018-12-14,out
CAPUTLG311A2S,"Capacity Utilization: Nondurable Manufacturing: Food, beverage, and tobacco", % of Capacity, M, SA, 2018-12-14,out
CAPUTLG316S,Capacity Utilization: Nondurable Manufacturing: Leather and allied product, % of Capacity, M, SA, 2018-12-14,out
CAPUTLGMFOS,Capacity Utilization: Nondurable Manufacturing: Other manufacturing, % of Capacity, M, SA, 2018-12-14,out
CAPUTLG322S,Capacity Utilization: Nondurable Manufacturing: Paper, % of Capacity, M, SA, 2018-12-14,out
CAPUTLG324S,Capacity Utilization: Nondurable Manufacturing: Petroleum and coal products, % of Capacity, M, SA, 2018-12-14,out
CAPUTLG326S,Capacity Utilization: Nondurable Manufacturing: Plastics and rubber products, % of Capacity, M, SA, 2018-12-14,out
CAPUTLN325211S,Capacity Utilization: Nondurable Manufacturing: Plastics material and resin, % of Capacity, M, SA, 2018-12-14,out
CAPUTLG323S,Capacity Utilization: Nondurable Manufacturing: Printing and related support activities, % of Capacity, M, SA, 2018-12-14,out
CAPUTLG325212S,Capacity Utilization: Nondurable Manufacturing: Synthetic rubber, % of Capacity, M, SA, 2018-12-14,out
CAPUTLG313S,Capacity Utilization: Nondurable Manufacturing: Textile mills, % of Capacity, M, SA, 2018-12-14,out
CAPUTLG314S,Capacity Utilization: Nondurable Manufacturing: Textile product mills, % of Capacity, M, SA, 2018-12-14,out
CAPUTLG313A4S,Capacity Utilization: Nondurable Manufacturing: Textiles and products, % of Capacity, M, SA, 2018-12-14,out
CAPUTLG2123S,Capacity Utilization: Nonmetallic mineral mining and quarrying, % of Capacity, M, SA, 2018-12-14,out
CAPUTLG211S,Capacity Utilization: Oil and gas extraction, % of Capacity, M, SA, 2018-12-14,out
CAPUTLB562A3CS,Capacity Utilization: Primary and semifinished processing, % of Capacity, M, SA, 2018-12-14,out
CAPUTLG33441A1S,Capacity Utilization: Semiconductors and related equipment (DISCONTINUED), % of Capacity, M, SA, 2015-07-15,out
CAPUTLG213S,Capacity Utilization: Support activities for mining, % of Capacity, M, SA, 2018-12-14,out
CAPUTLX50HTKS,"Capacity Utilization: Total excluding computers, communications equipment, and semiconductors", % of Capacity, M, SA, 2018-12-14,out
TCU,Capacity Utilization: Total Industry, % of Capacity, M, SA, 2018-12-14,out
INDPRO,Industrial Production Index, Index 2012=100, M, SA, 2018-12-14,out
IPBUSEQ,Industrial Production: Business Equipment, Index 2012=100, M, SA, 2018-12-14,out
IPX52HTVS,Industrial Production: Business equipment excluding hi-tech and motor vehicles and parts, Index 2012=100, M, SA, 2018-12-14,out
IPB54200S,Industrial Production: Business supplies, Index 2012=100, M, SA, 2018-12-14,out
IPX5421TS,"Industrial Production: Business supplies excluding energy, motor vehicles and parts, and selected high-tech industries", Index 2012=100, M, SA, 2018-12-14,out
IPB54220S,Industrial Production: Commercial energy products, Index 2012=100, M, SA, 2018-12-14,out
IPB53121S,Industrial Production: Computer and other board assemblies and parts, Index 2012=100, M, SA, 2018-12-14,out
IPHITEK2S,"Industrial Production: Computers, communications equipment, and semiconductors", Index 2012=100, M, SA, 2018-12-14,out
IPB54100S,Industrial Production: Construction supplies, Index 2012=100, M, SA, 2018-12-14,out
IPX5410HS,Industrial Production: Construction supplies excluding hi-tech, Index 2012=100, M, SA, 2018-12-14,out
IPB51220S,Industrial Production: Consumer energy products, Index 2012=100, M, SA, 2018-12-14,out
IPCONGD,Industrial Production: Consumer Goods, Index 2012=100, M, SA, 2018-12-14,out
IPX51HVES,"Industrial Production: Consumer goods excluding hi-tech, motor vehicles and parts, and energy", Index 2012=100, M, SA, 2018-12-14,out
IPB53110S,Industrial Production: Consumer parts, Index 2012=100, M, SA, 2018-12-14,out
IPB5610CS,Industrial Production: Crude processing, Index 2012=100, M, SA, 2018-12-14,out
IPB52300S,Industrial Production: Defense and space equipment, Index 2012=100, M, SA, 2018-12-14,out
IPDCONGD,Industrial Production: Durable Consumer Goods, Index 2012=100, M, SA, 2018-12-14,out
IPG3364S,Industrial Production: Durable Goods: Aerospace product and parts, Index 2012=100, M, SA, 2018-12-14,out
IPG33311S,Industrial Production: Durable Goods: Agricultural implement, Index 2012=100, M, SA, 2018-12-14,out
IPG3331S,"Industrial Production: Durable Goods: Agriculture, construction, and mining machinery", Index 2012=100, M, SA, 2018-12-14,out
IPG336411T3S,Industrial Production: Durable Goods: Aircraft and parts, Index 2012=100, M, SA, 2018-12-14,out
IPG32199S,Industrial Production: Durable Goods: All other wood product, Index 2012=100, M, SA, 2018-12-14,out
IPG3313S,Industrial Production: Durable Goods: Alumina and aluminum production and processing, Index 2012=100, M, SA, 2018-12-14,out
IPN331316S,Industrial Production: Durable Goods: Aluminum extruded product (DISCONTINUED), Index 2007=100, M, SA, 2015-07-15,out
IPB51122S,"Industrial Production: Durable Goods: Appliances, furniture, and carpeting", Index 2012=100, M, SA, 2018-12-14,out
IPN3323S,Industrial Production: Durable Goods: Architectural and structural metals, Index 2012=100, M, SA, 2018-12-14,out
IPG3343S,Industrial Production: Durable Goods: Audio and video equipment, Index 2012=100, M, SA, 2018-12-14,out
IPB51112S,Industrial Production: Durable Goods: Auto parts and allied goods, Index 2012=100, M, SA, 2018-12-14,out
IPG336111S,Industrial Production: Durable Goods: Automobile, Index 2012=100, M, SA, 2018-12-14,out
IPG33611S,Industrial Production: Durable Goods: Automobile and light duty motor vehicle, Index 2012=100, M, SA, 2018-12-14,out
IPB51110S,Industrial Production: Durable Goods: Automotive products, Index 2012=100, M, SA, 2018-12-14,out
IPB51111S,"Industrial Production: Durable Goods: Autos and trucks, consumer", Index 2012=100, M, SA, 2018-12-14,out
IPG332991S,Industrial Production: Durable Goods: Ball and roller bearing, Index 2012=100, M, SA, 2018-12-14,out
IPG33591S,Industrial Production: Durable Goods: Battery, Index 2012=100, M, SA, 2018-12-14,out
IPN3311A2DS,Industrial Production: Durable Goods: Can and closure steel, Index 2012=100, M, SA, 2018-12-14,out
IPB511222S,Industrial Production: Durable Goods: Carpeting and furniture, Index 2012=100, M, SA, 2018-12-14,out
IPN32731S,Industrial Production: Durable Goods: Cement, Index 2012=100, M, SA, 2018-12-14,out
IPG3273S,Industrial Production: Durable Goods: Cement and concrete product, Index 2012=100, M, SA, 2018-12-14,out
IPG3271A9S,Industrial Production: Durable Goods: Clay and miscellaneous nonmetallic mineral products, Index 2012=100, M, SA, 2018-12-14,out
IPG32712S,Industrial Production: Durable Goods: Clay building material and refractories, Index 2012=100, M, SA, 2018-12-14,out
IPG3271S,Industrial Production: Durable Goods: Clay product and refractory, Index 2012=100, M, SA, 2018-12-14,out
IPG3271A4A9S,"Industrial Production: Durable Goods: Clay, lime, gypsum, and miscellaneous nonmetallic mineral products", Index 2012=100, M, SA, 2018-12-14,out
IPN3328S,"Industrial Production: Durable Goods: Coating, engraving, heat treating, and allied activities", Index 2012=100, M, SA, 2018-12-14,out
IPG3311A2FS,Industrial Production: Durable Goods: Coke and products, Index 2012=100, M, SA, 2018-12-14,out
IPG3333A9S,Industrial Production: Durable Goods: Commercial and service industry machinery and other general purpose machinery, Index 2012=100, M, SA, 2018-12-14,out
IPN33592S,Industrial Production: Durable Goods: Communication and energy wire and cable, Index 2012=100, M, SA, 2018-12-14,out
IPG3342S,Industrial Production: Durable Goods: Communications equipment, Index 2012=100, M, SA, 2018-12-14,out
IPG3341S,Industrial Production: Durable Goods: Computer and peripheral equipment, Index 2012=100, M, SA, 2018-12-14,out
IPB51121S,"Industrial Production: Durable Goods: Computers, video and audio equipment", Index 2012=100, M, SA, 2018-12-14,out
IPN32732T9S,Industrial Production: Durable Goods: Concrete and product, Index 2012=100, M, SA, 2018-12-14,out
IPG33312S,Industrial Production: Durable Goods: Construction machinery, Index 2012=100, M, SA, 2018-12-14,out
IPN3311A2BS,Industrial Production: Durable Goods: Construction steel, Index 2012=100, M, SA, 2018-12-14,out
IPN3311A2CS,Industrial Production: Durable Goods: Consumer durable steel, Index 2012=100, M, SA, 2018-12-14,out
IPN3322S,Industrial Production: Durable Goods: Cutlery and handtool, Index 2012=100, M, SA, 2018-12-14,out
IPG3351S,Industrial Production: Durable Goods: Electric lighting equipment, Index 2012=100, M, SA, 2018-12-14,out
IPG3353S,Industrial Production: Durable Goods: Electrical equipment, Index 2012=100, M, SA, 2018-12-14,out
IPG335A2S,Industrial Production: Durable Goods: Electrical equipment except appliances, Index 2012=100, M, SA, 2018-12-14,out
IPG3336S,"Industrial Production: Durable Goods: Engine, turbine, and power transmission equipment", Index 2012=100, M, SA, 2018-12-14,out
IPN3311A2ES,Industrial Production: Durable Goods: Equipment steel, Index 2012=100, M, SA, 2018-12-14,out
IPG333111S,Industrial Production: Durable Goods: Farm machinery and equipment, Index 2012=100, M, SA, 2018-12-14,out
IPN3321S,Industrial Production: Durable Goods: Forging and stamping, Index 2012=100, M, SA, 2018-12-14,out
IPG3315S,Industrial Production: Durable Goods: Foundries, Index 2012=100, M, SA, 2018-12-14,out
IPG3272S,Industrial Production: Durable Goods: Glass and glass product, Index 2012=100, M, SA, 2018-12-14,out
IPN327213S,Industrial Production: Durable Goods: Glass container, Index 2012=100, M, SA, 2018-12-14,out
IPG3325S,Industrial Production: Durable Goods: Hardware, Index 2012=100, M, SA, 2018-12-14,out
IPG33612S,Industrial Production: Durable Goods: Heavy duty truck, Index 2012=100, M, SA, 2018-12-14,out
IPN3371S,Industrial Production: Durable Goods: Household and institutional furniture and kitchen cabinet, Index 2012=100, M, SA, 2018-12-14,out
IPG3352S,Industrial Production: Durable Goods: Household appliance, Index 2012=100, M, SA, 2018-12-14,out
IPB511221S,Industrial Production: Durable Goods: Household appliances, Index 2012=100, M, SA, 2018-12-14,out
IPG3334T6S,"Industrial Production: Durable Goods: HVAC, metalworking, and power transmission machinery", Index 2012=100, M, SA, 2018-12-14,out
IPG3332S,Industrial Production: Durable Goods: Industrial machinery, Index 2012=100, M, SA, 2018-12-14,out
IPG3311A2S,Industrial Production: Durable Goods: Iron and steel products, Index 2012=100, M, SA, 2018-12-14,out
IPG336112S,Industrial Production: Durable Goods: Light truck and utility vehicle, Index 2012=100, M, SA, 2018-12-14,out
IPG3274S,Industrial Production: Durable Goods: Lime and gypsum product, Index 2012=100, M, SA, 2018-12-14,out
IPN1133S,Industrial Production: Durable Goods: Logging, Index 2012=100, M, SA, 2018-12-14,out
IPG3327S,Industrial Production: Durable Goods: Machine shops, Index 2012=100, M, SA, 2018-12-14,out
IPG33522S,Industrial Production: Durable Goods: Major appliance, Index 2012=100, M, SA, 2018-12-14,out
IPN321991S,Industrial Production: Durable Goods: Manufactured home, Index 2012=100, M, SA, 2018-12-14,out
IPN3391S,Industrial Production: Durable Goods: Medical equipment and supplies, Index 2012=100, M, SA, 2018-12-14,out
IPG3335S,Industrial Production: Durable Goods: Metalworking machinery, Index 2012=100, M, SA, 2018-12-14,out
IPG32191S,Industrial Production: Durable Goods: Millwork, Index 2012=100, M, SA, 2018-12-14,out
IPN33313S,Industrial Production: Durable Goods: Mining and oil and gas field machinery, Index 2012=100, M, SA, 2018-12-14,out
IPN331315A9S,Industrial Production: Durable Goods: Miscellaneous aluminum materials (DISCONTINUED), Index 2007=100, M, SA, 2015-07-15,out
IPN3311A2ZS,Industrial Production: Durable Goods: Miscellaneous steel, Index 2012=100, M, SA, 2018-12-14,out
IPN336213S,Industrial Production: Durable Goods: Motor home, Index 2012=100, M, SA, 2018-12-14,out
IPG3361S,Industrial Production: Durable Goods: Motor vehicle, Index 2012=100, M, SA, 2018-12-14,out
IPG3362S,Industrial Production: Durable Goods: Motor vehicle body and trailer, Index 2012=100, M, SA, 2018-12-14,out
IPG3363S,Industrial Production: Durable Goods: Motor vehicle parts, Index 2012=100, M, SA, 2018-12-14,out
IPG3345S,"Industrial Production: Durable Goods: Navigational, measuring, electromedical, and control instruments", Index 2012=100, M, SA, 2018-12-14,out
IPG33141S,Industrial Production: Durable Goods: Nonferrous metal, Index 2012=100, M, SA, 2018-12-14,out
IPG3314S,Industrial Production: Durable Goods: Nonferrous metal, Index 2012=100, M, SA, 2018-12-14,out
IPG3372A9S,Industrial Production: Durable Goods: Office and other furniture, Index 2012=100, M, SA, 2018-12-14,out
IPB51120S,Industrial Production: Durable Goods: Other durable goods, Index 2012=100, M, SA, 2018-12-14,out
IPG33593T9S,Industrial Production: Durable Goods: Other electrical equipment, Index 2012=100, M, SA, 2018-12-14,out
IPG3359S,Industrial Production: Durable Goods: Other electrical equipment and component, Index 2012=100, M, SA, 2018-12-14,out
IPG3329S,Industrial Production: Durable Goods: Other fabricated metal product, Index 2012=100, M, SA, 2018-12-14,out
IPG3279S,Industrial Production: Durable Goods: Other nonmetallic mineral product, Index 2012=100, M, SA, 2018-12-14,out
IPN3369S,Industrial Production: Durable Goods: Other transportation equipment, Index 2012=100, M, SA, 2018-12-14,out
IPG3219S,Industrial Production: Durable Goods: Other wood product, Index 2012=100, M, SA, 2018-12-14,out
IPN3311A2PS,Industrial Production: Durable Goods: Pig iron, Index 2012=100, M, SA, 2018-12-14,out
IPG3212A9S,Industrial Production: Durable Goods: Plywood and miscellaneous wood products, Index 2012=100, M, SA, 2018-12-14,out
IPG32711S,"Industrial Production: Durable Goods: Pottery, ceramics, and plumbing fixture", Index 2012=100, M, SA, 2018-12-14,out
IPN331312S,Industrial Production: Durable Goods: Primary aluminum production (DISCONTINUED), Index 2007=100, M, SA, 2015-07-15,out
IPG331411S,Industrial Production: Durable Goods: Primary smelting and refining of copper (DISCONTINUED), Index 2007=100, M, SA, 2015-07-15,out
IPN331419S,Industrial Production: Durable Goods: Primary smelting and refining of nonferrous metal (DISCONTINUED), Index 2007=100, M, SA, 2015-07-15,out
IPG3365T9S,"Industrial Production: Durable Goods: Railroad equipment, ships and boats, and other transportation equipment", Index 2012=100, M, SA, 2018-12-14,out
IPN3365S,Industrial Production: Durable Goods: Railroad rolling stock, Index 2012=100, M, SA, 2018-12-14,out
IPN3311A2RS,Industrial Production: Durable Goods: Raw steel, Index 2012=100, M, SA, 2018-12-14,out
IPG321219S,Industrial Production: Durable Goods: Reconstituted wood product, Index 2012=100, M, SA, 2018-12-14,out
IPN3211S,Industrial Production: Durable Goods: Sawmills and wood preservation, Index 2012=100, M, SA, 2018-11-16,out
IPN331314S,Industrial Production: Durable Goods: Secondary smelting and alloying of aluminum, Index 2012=100, M, SA, 2018-12-14,out
IPG3344S,Industrial Production: Durable Goods: Semiconductor and other electronic component, Index 2012=100, M, SA, 2018-12-14,out
IPG3366S,Industrial Production: Durable Goods: Ship and boat building, Index 2012=100, M, SA, 2018-12-14,out
IPG33521S,Industrial Production: Durable Goods: Small electrical appliance, Index 2012=100, M, SA, 2018-12-14,out
IPN3326S,Industrial Production: Durable Goods: Spring and wire product, Index 2012=100, M, SA, 2018-12-14,out
IPG336S,Industrial Production: Durable Goods: Transportation equipment, Index 2012=100, M, SA, 2018-12-14,out
IPG336214S,Industrial Production: Durable Goods: Travel trailer and camper, Index 2012=100, M, SA, 2018-12-14,out
IPG336212S,Industrial Production: Durable Goods: Truck trailer, Index 2012=100, M, SA, 2018-12-14,out
IPN321211A2S,Industrial Production: Durable Goods: Veneer and plywood, Index 2012=100, M, SA, 2017-03-17,out
IPG3212S,"Industrial Production: Durable Goods: Veneer, plywood, and engineered wood product", Index 2012=100, M, SA, 2018-12-14,out
IPG3334S,"Industrial Production: Durable Goods: Ventilation, heating, air-conditioning, and commercial refrigeration equipment", Index 2012=100, M, SA, 2018-12-14,out
IPN32192S,Industrial Production: Durable Goods: Wood container and pallet, Index 2012=100, M, SA, 2018-12-14,out
IPDMAN,Industrial Production: Durable Manufacturing (NAICS), Index 2012=100, M, SA, 2018-12-14,out
IPX5HTK2S,"Industrial Production: Durable manufacturing excluding computers, communications equipment, and semiconductors", Index 2012=100, M, SA, 2018-12-14,out
IPX005MVS,Industrial Production: Durable manufacturing excluding motor vehicles and parts, Index 2012=100, M, SA, 2018-12-14,out
IPG3364T9S,Industrial Production: Durable manufacturing: Aerospace and miscellaneous transportation equipment, Index 2012=100, M, SA, 2018-12-14,out
IPG334S,Industrial Production: Durable manufacturing: Computer and electronic product, Index 2012=100, M, SA, 2018-12-14,out
IPG335S,"Industrial Production: Durable manufacturing: Electrical equipment, appliance, and component", Index 2012=100, M, SA, 2018-12-14,out
IPG332S,Industrial Production: Durable manufacturing: Fabricated metal product, Index 2012=100, M, SA, 2018-12-14,out
IPG337S,Industrial Production: Durable manufacturing: Furniture and related product, Index 2012=100, M, SA, 2018-12-14,out
IPG333S,Industrial Production: Durable manufacturing: Machinery, Index 2012=100, M, SA, 2018-12-14,out
IPG339S,Industrial Production: Durable manufacturing: Miscellaneous, Index 2012=100, M, SA, 2018-12-14,out
IPG3361T3S,Industrial Production: Durable manufacturing: Motor vehicles and parts, Index 2012=100, M, SA, 2018-12-14,out
IPG327S,Industrial Production: Durable manufacturing: Nonmetallic mineral product, Index 2012=100, M, SA, 2018-12-14,out
