File                                    ,Title, Units, Frequency, Seasonal Adjustment, Last Updated,Category
IPG313A4S,Industrial Production: Nondurable manufacturing: Textiles and products, Index 2012=100, M, SA, 2018-12-14,out
IPNMAT,Industrial Production: Nondurable Materials, Index 2012=100, M, SA, 2018-12-14,out
IPB53241S,Industrial Production: Nondurable Materials: Containers, Index 2012=100, M, SA, 2018-12-14,out
IPB51210S,Industrial Production: Nondurable nonenergy consumer goods, Index 2012=100, M, SA, 2018-12-14,out
IPX5EHTKS,"Industrial Production: Non-energy excluding computers, communications equipment, and semiconductors", Index 2012=100, M, SA, 2018-12-14,out
IPX50EHVS,"Industrial Production: Non-energy excluding motor vehicles and parts, computers, communications equipment, and semiconductors", Index 2012=100, M, SA, 2018-12-14,out
IPB53810S,Industrial Production: Non-energy materials for finished goods producers, Index 2012=100, M, SA, 2018-12-14,out
IPB53820S,Industrial Production: Non-energy materials for intermediate goods producers, Index 2012=100, M, SA, 2018-12-14,out
IPX5001ES,"Industrial Production: Non-energy, total", Index 2012=100, M, SA, 2018-12-14,out
IPB54000S,Industrial Production: Nonindustrial supplies, Index 2012=100, M, SA, 2018-12-14,out
IPB52200S,Industrial Production: Oil and gas well drilling and manufactured homes, Index 2012=100, M, SA, 2018-12-14,out
IPB53130S,Industrial Production: Other durable materials, Index 2012=100, M, SA, 2018-12-14,out
IPB52132S,Industrial Production: Other equipment, Index 2012=100, M, SA, 2018-12-14,out
IPB53123S,Industrial Production: Other equipment parts, Index 2012=100, M, SA, 2018-12-14,out
IPGMFOS,Industrial Production: Other manufacturing, Index 2012=100, M, SA, 2018-12-14,out
IPB53240S,Industrial Production: Other nondurable materials, Index 2012=100, M, SA, 2018-12-14,out
IPB562A3CS,Industrial Production: Primary and semifinished processing, Index 2012=100, M, SA, 2018-12-14,out
IPB51222S,Industrial Production: Residential utilities, Index 2012=100, M, SA, 2018-12-14,out
IPG33441A1S,Industrial Production: Semiconductors and related equipment (DISCONTINUED), Index 2007=100, M, SA, 2015-07-15,out
IPB53122S,"Industrial Production: Semiconductors, printed circuit boards, and other", Index 2012=100, M, SA, 2018-12-14,out
IPX50HTKS,"Industrial Production: Total excluding computers, communications equipment, and semiconductors", Index 2012=100, M, SA, 2018-12-14,out
IPX50001S,Industrial Production: Total excluding motor vehicles and parts, Index 2012=100, M, SA, 2018-12-14,out
IPX5VHT2S,Industrial Production: Total excluding selected high-tech. and motor vehicles and parts, Index 2012=100, M, SA, 2018-12-14,out
IPN22112CS,Industrial Production: Utilities: Commercial and other electricity sales, Index 2012=100, M, SA, 2018-12-14,out
IPN2212CS,Industrial Production: Utilities: Commercial and other gas sales, Index 2012=100, M, SA, 2018-12-14,out
IPG22111S,Industrial Production: Utilities: Electric power generation, Index 2012=100, M, SA, 2018-12-14,out
IPG22112S,"Industrial Production: Utilities: Electric power transmission, control, and distribution", Index 2012=100, M, SA, 2018-12-14,out
IPN221112A9S,Industrial Production: Utilities: Fossil fuel and other electric power generation (DISCONTINUED), Index 2007=100, M, SA, 2015-07-15,out
IPN2212TS,Industrial Production: Utilities: Gas transmission, Index 2012=100, M, SA, 2018-12-14,out
IPN221111S,Industrial Production: Utilities: Hydroelectric power generation, Index 2012=100, M, SA, 2018-12-14,out
IPN22112MS,Industrial Production: Utilities: Industrial electricity sales, Index 2012=100, M, SA, 2018-12-14,out
IPN2212MS,Industrial Production: Utilities: Industrial gas sales, Index 2012=100, M, SA, 2018-12-14,out
IPN221113S,Industrial Production: Utilities: Nuclear electric power generation, Index 2012=100, M, SA, 2018-12-14,out
IPN22112RS,Industrial Production: Utilities: Residential electricity sales, Index 2012=100, M, SA, 2018-12-14,out
IPN2212RS,Industrial Production: Utilities: Residential gas sales, Index 2012=100, M, SA, 2018-12-14,out
CUSR0000SEHF01,Consumer Price Index - All Urban Consumers - Electricity, Index 1982-84=100, M, SA, 2019-01-11,Pri
CUSR0000SEHF02,Consumer Price Index - All Urban Consumers - Utility (piped) gas service, Index 1982-84=100, M, SA, 2019-01-11,Pri
CUSR0000SS62031,"Consumer Price Index for All Urban Consumers: Admission to movies, theaters, and concerts", Index Dec 1997=100, M, SA, 2019-01-11,Pri
CUSR0000SETG01,Consumer Price Index for All Urban Consumers: Airline fare, Index 1982-84=100, M, SA, 2019-01-11,Pri
CUSR0000SAF116,Consumer Price Index for All Urban Consumers: Alcoholic beverages, Index 1982-84=100, M, SA, 2019-01-11,Pri
CUSR0000SEFW,Consumer Price Index for All Urban Consumers: Alcoholic beverages at home, Index 1982-84=100, M, SA, 2019-01-11,Pri
CUSR0000SEFX,Consumer Price Index for All Urban Consumers: Alcoholic beverages away from home, Index 1982-84=100, M, SA, 2019-01-11,Pri
CPIAUCSL,Consumer Price Index for All Urban Consumers: All Items, Index 1982-1984=100, M, SA, 2019-01-11,Pri
CPILEGSL,Consumer Price Index for All Urban Consumers: All Items Less Energy, Index 1982-84=100, M, SA, 2019-01-11,Pri
CPIULFSL,Consumer Price Index for All Urban Consumers: All Items Less Food, Index 1982-84=100, M, SA, 2019-01-11,Pri
CPILFESL,Consumer Price Index for All Urban Consumers: All Items Less Food and Energy, Index 1982-1984=100, M, SA, 2019-01-11,Pri
CUSR0000SA0L5,Consumer Price Index for All Urban Consumers: All items less medical care, Index 1982-84=100, M, SA, 2019-01-11,Pri
CUSR0000SA0L2,Consumer Price Index for All Urban Consumers: All items less shelter, Index 1982-84=100, M, SA, 2019-01-11,Pri
CPIAPPSL,Consumer Price Index for All Urban Consumers: Apparel, Index 1982-84=100, M, SA, 2019-01-11,Pri
CUSR0000SA311,Consumer Price Index for All Urban Consumers: Apparel less footwear, Index 1982-84=100, M, SA, 2019-01-11,Pri
CUSR0000SERA02,Consumer Price Index for All Urban Consumers: Cable and satellite television and radio service, Index Dec 1983=100, M, SA, 2019-01-11,Pri
CUSR0000SAF111,Consumer Price Index for All Urban Consumers: Cereals and bakery products, Index 1982-84=100, M, SA, 2019-01-11,Pri
CUSR0000SERF01,Consumer Price Index for All Urban Consumers: Club dues and fees for participant sports and group exercises, Index Dec 1997=100, M, SA, 2019-01-11,Pri
CUSR0000SEFP01,Consumer Price Index for All Urban Consumers: Coffee, Index 1982-84=100, M, SA, 2019-01-11,Pri
CUSR0000SAC,Consumer Price Index for All Urban Consumers: Commodities, Index 1982-84=100, M, SA, 2019-01-11,Pri
CUSR0000SACL1,Consumer Price Index for All Urban Consumers: Commodities less food, Index 1982-84=100, M, SA, 2019-01-11,Pri
CUSR0000SACL11,Consumer Price Index for All Urban Consumers: Commodities less food and beverages, Index 1982-84=100, M, SA, 2019-01-11,Pri
CUSR0000SACL1E,Consumer Price Index for All Urban Consumers: Commodities less food and energy commodities, Index 1982-84=100, M, SA, 2019-01-11,Pri
CUSR0000SAE2,Consumer Price Index for All Urban Consumers: Communication, Index Dec 1997=100, M, SA, 2019-01-11,Pri
CUSR0000SEFJ,Consumer Price Index for All Urban Consumers: Dairy and related products, Index 1982-84=100, M, SA, 2019-01-11,Pri
CUSR0000SAD,Consumer Price Index for All Urban Consumers: Durables, Index 1982-84=100, M, SA, 2019-01-11,Pri
CUSR0000SAE1,Consumer Price Index for All Urban Consumers: Education, Index Dec 1997=100, M, SA, 2019-01-11,Pri
CPIEDUSL,Consumer Price Index for All Urban Consumers: Education and Communication, Index Dec 1997=100, M, SA, 2019-01-11,Pri
CUSR0000SEEA,Consumer Price Index for All Urban Consumers: Educational books and supplies, Index 1982-84=100, M, SA, 2019-01-11,Pri
CPIENGSL,Consumer Price Index for All Urban Consumers: Energy, Index 1982-84=100, M, SA, 2019-01-11,Pri
CUSR0000SACE,Consumer Price Index for All Urban Consumers: Energy commodities, Index 1982-84=100, M, SA, 2019-01-11,Pri
CUSR0000SEHF,Consumer Price Index for All Urban Consumers: Energy services, Index 1982-84=100, M, SA, 2019-01-11,Pri
CUSR0000SEFS,Consumer Price Index for All Urban Consumers: Fats and oils, Index 1982-84=100, M, SA, 2019-01-11,Pri
CUSR0000SERF03,Consumer Price Index for All Urban Consumers: Fees for lessons or instructions, Index Dec 1986=100, M, SA, 2019-01-11,Pri
CPIUFDSL,Consumer Price Index for All Urban Consumers: Food, Index 1982-84=100, M, SA, 2019-01-11,Pri
CPIFABSL,Consumer Price Index for All Urban Consumers: Food and Beverages, Index 1982-84=100, M, SA, 2019-01-11,Pri
CUSR0000SAF11,Consumer Price Index for All Urban Consumers: Food at home, Index 1982-84=100, M, SA, 2019-01-11,Pri
CUSR0000SEFV,Consumer Price Index for All Urban Consumers: Food away from home, Index 1982-84=100, M, SA, 2019-01-11,Pri
CUSR0000SEAE,Consumer Price Index for All Urban Consumers: Footwear, Index 1982-84=100, M, SA, 2019-01-11,Pri
CUSR0000SAF113,Consumer Price Index for All Urban Consumers: Fruits and vegetables, Index 1982-84=100, M, SA, 2019-01-11,Pri
CUSR0000SEHE,Consumer Price Index for All Urban Consumers: Fuel oil and other fuels, Index 1982-84=100, M, SA, 2019-01-11,Pri
CUSR0000SAH2,Consumer Price Index for All Urban Consumers: Fuels and utilities, Index 1982-84=100, M, SA, 2019-01-11,Pri
CUSR0000SETB01,Consumer Price Index for All Urban Consumers: Gasoline (all types), Index 1982-84=100, M, SA, 2019-01-11,Pri
CUSR0000SEMD,Consumer Price Index for All Urban Consumers: Hospital and related services, Index 1982-84=100, M, SA, 2019-01-11,Pri
CUSR0000SAH21,Consumer Price Index for All Urban Consumers: Household energy, Index 1982-84=100, M, SA, 2019-01-11,Pri
CUSR0000SAH3,Consumer Price Index for All Urban Consumers: Household furnishings and operations, Index 1982-84=100, M, SA, 2019-01-11,Pri
CPIHOSSL,Consumer Price Index for All Urban Consumers: Housing, Index 1982-84=100, M, SA, 2019-01-11,Pri
CUSR0000SEAF,Consumer Price Index for All Urban Consumers: Infants' and toddlers' apparel, Index 1982-84=100, M, SA, 2019-01-11,Pri
CUSR0000SAE21,Consumer Price Index for All Urban Consumers: Information and information processing, Index Dec 1997=100, M, SA, 2019-01-11,Pri
CUSR0000SEEE,"Consumer Price Index for All Urban Consumers: Information technology, hardware and services", Index Dec 1988=100, M, SA, 2019-01-11,Pri
CUSR0000SEGD03,Consumer Price Index for All Urban Consumers: Laundry and dry cleaning services, Index Dec 1997=100, M, SA, 2019-01-11,Pri
CUSR0000SEHB,Consumer Price Index for All Urban Consumers: Lodging away from home, Index Dec 1997=100, M, SA, 2019-01-11,Pri
CUSR0000SAF112,"Consumer Price Index for All Urban Consumers: Meats, poultry, fish, and eggs", Index 1982-84=100, M, SA, 2019-01-11,Pri
